code_grade_NEG;libelle_grade_neg;code_nomenclature_net_neh;libelle_NET_NEH;libelle_NEG_rempl;libelle_NET_NEH_rempl;code_NETH_rempl;caracteristique
0049;INFIRMIER DE BLOC OPERATOIRE, SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);HHD3;;INFIRMIER DE BLOC OPERATOIRE CADRE DE SANTE;Infirmier de bloc opératoire cadre de santé;2802;DT 88-1077 DU 30 11 1988 SECTION 2 ENCADREMENT/MONITEUR DE CENTRE OU D ECOLE IL PEUT ETRE CHARGE DES FONCT DE SURV CHEF( BONIF DE 30 PTS MAJORES) ART 31 AU 1/8/92 LES CONDITIONS DE RECLT ST DIFFER SELON QUE L'AGENT EST OU NON EN ACTIVITE A CETTE DATE ( DT 93-329 DU 12/3/93 ) MODIF DE L'INTITULE DE CE GRADE SUITE A L'ART 1 DU DT:93-330 DU 12/3/ 93 A COMPTER DU 1/8/92, L'ANCIENNE APPELLATION ETAIT : INFIRMIER DE SALLE D'OPERATION SURVEILLANT DES SERVICES MEDICAUX DÉCRET 2001-1375 DU 31-12-2001 - GRADE PROVISOIRE DU 01-01-2002 AU 31-12-2003 LES ACTIFS SERONT NOMMÉS, PAR LISTE D APTITUDE, DANS LE GRADE D INFIRMIER DE BLOC OPÉRATOIRE CADRE DE SANTÉ EN 3 TRANCHES LES 01-01-2002, 01-01-2003 ET 01-01-2004 NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÈS LA NOMINATION POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITÉS SERONT RECLASSÉS LE 01-01-2004 DÉCRET N°2003-1269 DU 23/12/03 MODIFIANT LE DÉCRET N°2001-1375, AVANCE LA DATE DU RECLASSEMENT AU 31/12/03
0050;INFIRMIER SPECIALISE ANESTHESIE-REANIMATION CLASSE NORMALE;;;INFIRMIER ANESTHESISTE DE CLASSE NORMALE;Infirmier anesthésiste d.e. de classe normale;2430;DT 88-1077 DU 30 11 1988 SECTION 3 LORS DE NOMINATION BENEFICIENT DE 24 MOIS D ANCIENNETE ART 14 II P4 P6 P7 01 06 02 00 02 00 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-73 DU 25-01-94)
0051;INFIRMIER SPECIALISE ANESTHESIE-REANIMATION DE CLASSE SUPERIEURE;;;INFIRMIER ANESTHESISTE DE CLASSE NORMALE;Infirmier anesthésiste d.e. de classe normale;2430;DECRET 88-1077 DU 30 11 1988 SECTION 3 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-73 DU 2501-94)
0052;INFIRMIER ANESTHESISTE, SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);HHC3;;INFIRMIER ANESTHESISTE CADRE DE SANTE;Infirmier anesthésiste cadre de santé;2803;DT 88-1077 DU 30 11 1988 SECTION 3( ART 31) IL PEUT ETRE CHARGES DES FONCT DE SURV CHEF (BONIF DE 30 PTS MAJ) AU 1/8/92 LES CONDITIONS DE RECLT DES AGENTS ST DIFFERENTS SELON QU'IS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 93-329 DU 12/3/93) MODIF DE L'INTITULE DE CE GR SUITE A L'ART 1 DU DT: 93-330 DU 12/3/93 A COMPTER DU 1/8/92 L'ANCIENNE APPELLATION DE CE GRADE ETAIT:INFIRMIER SPECIALISE ANESTHESIE-REANIMATION,SURVEILLANT DES SERVICES MEDICAUX DÉCRET N 2001-1375 DU 31-12-2001 - GRADE PROVISOIRE DU 01-01-2002 AU 31-12-2003 LES ACTIFS SERONT NOMMÉS, PAR LISTE D APTITUDE, DANS LE GRADE D INFIRMIER ANESTHÉSISTE CADRE DE SANTÉ EN 3 TRANCHES LES 01-01-2002, 01-01-2003 ET 01-01-2004 NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÈS LA NOMINATION POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITÉS SERONT RECLASSÉS LE 01-01-2004 DÉCRET N°2003-1269 DU 23/12/03 MODIFIANT LE DÉCRET N°2001-1375, AVANCE LA DATE DU RECLASSEMENT AU 31/12/03
0053;PUERICULTRICE CLASSE NORMALE;;;PUERICULTRICE DE CLASSE NORMALE;Puéricultrice d.e. de classe normale;2440;DT 88-1077 DU 30 11 1988 SECTION 4 LORS DE LEUR NOMIATION BENEFICIENT DE 18 MOIS D ANCIENNETE TEMPS MOYEN PASSE DANS L ECHELON P2 P3 P4 P6 P7 00 09 01 00 01 06 02 00 02 00 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-73 DU 25- 01-94)
0054;PUERICULTRICE CLASSE SUPERIEURE;;;PUERICULTRICE DE CLASSE NORMALE;Puéricultrice d.e. de classe normale;2440;DT 88-1077 DU 30 11 1988 SECTION 4 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-73 DU 25- 01-94)
0055;PUERICULTRICE, SURVEILLANTE DES SERVICES MEDICAUX (GRADE PROVISOIRE);HHE3;;PUERICULTRICE CADRE DE SANTE;Puéricultrice cadre de santé;2804;DT 88-1077 DU 30 11 1988 SECTION 4 ART 31 : PEUVENT ETRE CHARGES DES FONCTIONS DE SURVEILLANT CHEF ( BONI FICATION 30 POINTS MAJORES ) AU 01-08-92 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 93-329 DU 1203-93) DÉCRET N 2001-1375 DU 31-12-2001 - GRADE PROVISOIRE DU 01-01-2002 AU 31-12-2003 LES ACTIFS SERONT NOMMÉS, PAR LISTE D APTITUDE, DANS LE GRADE DE PUÉRICULTRICE CADRE DE SANTÉ EN 3 TRANCHES LES 01-01-2002, 01-01-2003 ET 01-01-2004 NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÈS LA NOMINATION POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITÉS SERONT RECLASSÉS LE 01-01-2004 DÉCRET N°2003-1269 DU 23/12/03 MODIFIANT LE DÉCRET N°2001-1375, AVANCE LA DATE DU RECLASSEMENT AU 31/12/03
0056;AIDE SOIGNANT CLASSE NORMALE (ECH03);3121;Aide-soignant de classe normale e3;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE;Aide-soignant de classe normale e4;3001;DT 88-1080 DU 30 11 1988 RECLASSEMENT AU 01 01 90 POUR LES AGENTS AYANT CHEVRONNE AU GR 3BIS: GR ECH>>>GR ECH COEF DUREE () GR ECH>>>GR ECH COEF DUREE GB3510 01 E03510 02 2,00+00 00 () GB3510 02 E03510 03 1,00+00 00 GB3510 03 E03510 04 1,00+00 00 () GB3510 04 E03510 05 1,00+01 00 GB3510 05 E03510 06 1,00+00 00 () GB3510 06 E03510 07 1,00+00 00 GB3510 07 E03510 08 1,00+01 00 () GB3510 08 E03510 09 1,00+00 00 GB3510 09 E03510 10 1,00+00 00 () GB3510 10 E03510 10 1,00+04 00 CF AU DÉCRET N° 2007-1188 DU 03/08/07, LE RECLASSEMENT DES FONCT DANS LE NOUVEAU GRADE [0839] (REF À L'E04) S'EFFECTUE EN DEUX TRANCHES LES 25/06/07 ET 01/01/08
0057;AIDE SOIGNANT CLASSE SUPERIEURE (ECH04);3122;Aide-soignant de classe supérieure e4;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE;Aide-soignant de classe supérieure e5;3002;"DT 88-1080 DU 30 11 1988 A COMPTER DU 01 08 92, LES AIDES-SOIGNANTS DE CLASSE SUPERIEURE TITULAIRES SONT RECLASSES DANS L'ECHELLE 4 DE REMUNERATION; LES RECLASSEMENTS S'OPERENT DANS LA CLASSE SUPERIEURE A L'ECHELON CORRESPONDANT A CELUI ATTEINT DANS L'ECHELLE 3 AVEC MAINTIEN DE L'ANCIENNETE ACQUISE DANS CET ECHELON ART 4-2 DU DECRET 89-241 DU 18 04 89 INSTAURE PAR L'ART 4 DU DECRET 90 953 DU 26 10 90 ET MODIFIE PAR L'ART 1 DU DECRET 92-74 DU 20 01 92 CF AU DÉCRET N° 2007-1188 DU 03/08/07, LE RECLASSEMENT DES FONCT DANS LE NOUVEAU GRADE [0840] (REF À L'E05) S'EFFECTUE EN DEUX TRANCHES LES 25/06/07 ET 01/01/08"
0058;AIDE MEDICO-PSYCHOLOGIQUE CLASSE NORMALE (ECH03)(AIDE SOIGNA NT);3128;Aide médico-psychologique de classe normale e3;AIDE MEDICO-PSYCHOLOGIQUE (ECH C2);Aide médico-psychologique et accompagnant éducatif et social;3028;DECRET 88-1080 DU 30 11 1988 RECLASSEMENT AU 01 01 90 POUR LES AGENTS AYANT CHEVRONNE AU GR 3 BIS GR ECH>>>GR ECH COEF DUREE GR ECH>>>GR ECH COEF DUREE GB3510 01 E03510 02 2,00+00 00 () GB3510 02 E03510 03 1,00+00 00 GB3510 03 E03510 04 1,00+00 00 () GB3510 04 E03510 05 1,00+01 00 GB3510 05 E03510 06 1,00+00 00 () GB3510 06 E03510 07 1,00+00 00 GB3510 07 E03510 08 1,00+01 00 () GB3510 08 E03510 09 1,00+00 00 GB3510 09 E03510 10 1,00+00 00 () GB3510 10 E03510 10 1,00+04 00 CF AU DÉCRET N° 2007-1188 DU 03/08/07, LE RECLASSEMENT DES FONCT DANS LE NOUVEAU GRADE [0845] (REF À L'E04) S'EFFECTUE EN DEUX TRANCHES LES 25/06/07 ET 01/01/08
0059;AIDE MEDICO-PSYCHOLOGIQUE CLASSE SUPERIEURE (ECH04)(AIDE SOI GNANT);3129;Aide médico-psychologique de classe supérieure e4;AIDE MEDICO-PSYCHOLOGIQUE (ECH C2);Aide médico-psychologique et accompagnant éducatif et social;3028;"DECRET 88-1080 DU 30 11 1988 A COPMTER DU 01 08 92, LES AIDES-SOIGNANTS DE CLASSE SUPERIEURE TITULAIRES SONT RECLASSES DANS L'ECHELLE 4 DE REMUNERATION; LES RECLASSEMENTS S'OPERENT DANS LA CLASSE SUPERIEURE A L'ECHELON CORRESPONDANT A CELUI ATTEINT DANS L'ECHELLE 3 AVEC MAINTIEN DE L'ANCIENNETE ACQUISE DANS CET ECHELON"" ART 4-2 DU DECRET 89-241 DU 18 04 89 INSTAURE PAR L'ART 4 DU DECRET 90 953 DU 26 10 90 ET MODIFIE PAR L'ART 1 DU DECRET 92-74 DU 20 01 92 CF AU DÉCRET N° 2007-1188 DU 03/08/07, LE RECLASSEMENT DES FONCT DANS LE NOUVEAU GRADE [0846] (REF À L'E05) S'EFFECTUE EN DEUX TRANCHES LES 25/06/07 ET 01/01/08"
0060;AUXILIAIRE PUERICULTURE CLASSE NORMALE (ECH03)(AIDE SOIGNANT );3125;Auxiliaire de puériculture de classe normale e3;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE;Auxiliaire de puériculture;3025;DT 88-1080 DU 30 11 1988 RECLASSEMENT AU 01 01 90 POUR LES AGENTS AYANT CHEVRONNE AU GR 3BIS: GR ECH>>>GR ECH COEF DUREE () GR ECH>>>GR ECH COEF DUREE GB3510 01 E03510 02 2,00+00 00 () GB3510 02 E03510 03 1,00+00 00 GB3510 03 E03510 04 1,00+00 00 () GB3510 04 E03510 05 1,00+01 00 GB3510 05 E03510 06 1,00+00 00 () GB3510 06 E03510 07 1,00+00 00 GB3510 07 E03510 08 1,00+01 00 () GB3510 08 E03510 09 1,00+00 00 GB3510 09 E03510 10 1,00+00 00 () GB3510 10 E03510 10 1,00+04 00 CF AU DÉCRET N° 2007-1188 DU 03/08/07, LE RECLASSEMENT DES FONCT DANS LE NOUVEAU GRADE [0842] (REF À L'E04) S'EFFECTUE EN DEUX TRANCHES LES 25/06/07 ET 01/01/08
0061;AUXILIAIRE PUERICULTURE CLASSE SUPERIEURE (ECH04)(AIDE SOIGN ANT);3126;Auxiliaire de puériculture de classe supérieure e4;AIDE-SOIGNANT ET AUXILIAIRE DE PUERICULTURE DE CLASSE NORMALE;Auxiliaire de puériculture;3025;"DECRET 88-1080 DU 30 11 1988 A COMPTER DU 01 08 92, LES AIDES-SOIGNANTS DE CLASSE SUPERIEURE TITULAIRES SONT RECLASSES DANS L'ECHELLE 4 DE REMUNERATION+ LES RECLASSEMENTS S'OPERENT DANS LA CLASSE SUPERIEURE A L'ECHELON CORRESPONDANT A CELUI ATTEINT DANS L'ECHELLE 3 AVEC MAINTIEN DE L'ANCIENNETE ACQUISE DANS CET ECHELON"" ART 4-2 DU DECRET 89-241 DU 18 04 89 INSTAURE PAR L'ART 4 DU DECRET 90 953 DU 26 10 90 ET MODIFIE PAR L'ART 1 DU DECRET 92-74 DU 20 01 92 CF AU DÉCRET N° 2007-1188 DU 03/08/07, LE RECLASSEMENT DES FONCT DANS LE NOUVEAU GRADE [0843] (REF À L'E05) S'EFFECTUE EN DEUX TRANCHES LES 25/06/07 ET 01/01/08"
0062;INFIRMIER SURVEILLANT CHEF DES SERVICES MEDICAUX;;;INFIRMIER CADRE SUPERIEUR DE SANTE;Infirmier cadre supérieur de santé;2001;ENCADREMENT SERVICES DE SOINS , ECOLES DT 88-1078 DU 30 11 1988 = BONIFICATION 30 POINTS MAJORES LE DECRET 89-539 DU 03 08 1989 A ABROGE LE TEXTE SUR LA BONIFICATION INDICIAIRE DE 30 POINTS POUR LE CALCUL DE L'ANCIENNETE DE 3 ANS EN QUA LITE DE SURVEILLANT IL EST TENU COMPTE DE L ANCIENNETE ACQUISE DANS L' UN DES AUTRES CORPS INFIRMIERS OU DANS LES EMPLOIS DE SURVEILLANT DES SERVICES MEDICAUX OU DE MONITEUR D'ECOLE D'INFIRMIER OU DE PUERICULTRI CE
0063;INFIRMIER DE SALLE D'OPERATION,SURVEILLANT CHEF DES SERVICES MEDICAUX;;;INFIRMIER DE BLOC OPERATOIRE CADRE SUPERIEUR DE SANTE;Infirmier de bloc opératoire cadre supérieur de santé;2002;ENCADREMENT SERVICES DE SOINS , ECOLES LE DECRET 88-1078 FIXANT LA BONIFICATION INDICIAIRE DE 30 POINTS MAJO- RES EST ABROGE
0064;INFIRMIER SPECIALISE ANESTHESIE-REANIMATION,SURVEILLANT CHEF SERVICES MEDICAUX;;;INFIRMIER ANESTHESISTE CADRE SUPERIEUR DE SANTE;Infirmier anesthésiste cadre supérieur de santé;2003;FONCTIONS D ENCADREMENT SERVICES DE SOINS ET ECOLES LE DECRET 88-1078 DU 30 11 88 FIXANT LA BONIFICATION INDICIAIRE DE 30 POINTS MAJORES EST ABROGE PAR LE DECRET 89-539 DU 03 08 89
0065;PUERICULTRICE SURVEILLANT CHEF DES SERVICES MEDICAUX;;;PUERICULTRICE CADRE SUPERIEUR DE SANTE;Puéricultrice cadre supérieur de santé;2004;FONCTION D ENCADREMENT SERVICES DE SOINS ET ECOLES LE DECRET 88-1078 FIXANT LA BONIFICATION INDICIAIRE DE 30 POINTS MAJO- RES EST ABROGE
0070;AGENT DES SERVICES HOSPITALIERS;;;AGENT DES SERVICES HOSPITALIERS QUALIFIE DE CLASSE NORMALE (ECH 3/ECH C1);Agent des services hospitaliers qualifié de classe normale;3259;DECRET 89241 DU 18 AVRIL 1989 AU 01-08-93 LES PERSONNELS TIULAIRES DE CE GRADE SONT INTEGRES DANS ASH HORS CATEGORIE (ART 2 DT 94-246 DU 25-03-94)
0071;PEDICURE PODOLOGUE CLASSE NORMALE;;;PEDICURE-PODOLOGUE DE CLASSE NORMALE (PREMIER GRADE);Pédicure-podologue de classe normale (cadre d'extinction);2941;DT 89-609 DU 01 09 1989 TEMPS MOYEN PASSE DANS L ECHELON P2 P3 P4 P6 00 09 01 00 02 06 02 00 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0072;PEDICURE-PODOLOGUE DE CLASSE SUPERIEURE;;;PEDICURE-PODOLOGUE DE CLASSE NORMALE (PREMIER GRADE);Pédicure-podologue de classe normale (cadre d'extinction);2941;DT 89-609 DU 01 09 1989 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0073;PEDICURE PODOLOGUE SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);HRE3;;PEDICURE PODOLOGUE CADRE DE SANTE;Pédicure-podologue cadre de santé;2811;"DT 89-609 DU 01 09 1989 AU 01-08-92, LES CONDITIONS DE RECLT SONT DIFFERENTES SELON QUE CES PERSONNELS ETAIENT OU NON EN ACTIVITE (DT 93-331 DU 12-03-93) SUITE AU DÉCRET N°2001-1375 ET À L'ARRÊTÉ DU 31/12/01, CE GRADE EST CONSTITUÉ EN GRADE PROVISOIRE DU 01/01/2002 AU 31/12/2003 LES ACTIFS SERONT NOMMÉS, PAR LISTE D'APTITUDE,DANS LE GRADE DE ""PÉDICURE-PODOLOGUE CADRE DE SANTÉ DES SERVICES MÉDICAUX"" EN 3 TRANCHES: LES 01/01/02, 01/01/03 ET 01/01/04 NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÉS LA NOMINATION, POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITÉS SERONT RECLASSÉS LE 01/01/04 LA DATE D'EFFET DU 01/01/04 EST MODIFIÉE AU 31/12/03 PAR LE DÉCRET : 2003-1269 DU 23/12/03"
0074;PEDICURE PODOLOGUE SURVEILLANT-CHEF DES SERVICES MEDICAUX;;;PEDICURE PODOLOGUE CADRE SUPERIEUR DE SANTE;Pédicure-podologue cadre supérieur de santé;2011;DT 89-609 DU 01 09 1989
0075;MASSEUR-KINESITHERAPEUTE DE CLASSE NORMALE;;;MASSEUR KINESITHERAPEUTE DE CLASSE NORMALE (PREMIER GRADE);Masseur-kinésithérapeute de classe normale (cadre d'extinction);2942;DT 89-609 DU 01 09 1989 TEMPS MOYEN PASSE DANS L ECHELON P2 P3 P4 P6 P7 00 09 01 00 01 06 02 00 02 00 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0076;MASSEUR-KINESITHERAPEUTE DE CLASSE SUPERIEURE;;;MASSEUR KINESITHERAPEUTE DE CLASSE NORMALE (PREMIER GRADE);Masseur-kinésithérapeute de classe normale (cadre d'extinction);2942;DT 89-609 DU 01 09 1989 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 2501-94)
0077;MASSEUR-KINESITHERAPEUTE SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);HRF3;Cadre supérieur de santé de sapeurs pompiers professionnels;MASSEUR KINESITHERAPEUTE CADRE DE SANTE;Masseur-kinésithérapeute, cadre de santé;2812;DT 89-609 DU 01 09 1989 AU 01-08-92, LES CONDITIONS DE RECLT SONT DIFFERENTES SELON QUE CES PERSONNELS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 93-331 DU 12-03 93) SUITE AU DÉCRET N° 2001-1375 ET À L'ARRÊTÉ DU 31/12/01, CE GRADE EST CONSTITUÉ EN GRADE PROVISOIRE DU 01/01/02 AU 31/12/03 LES ACTIFS SERONT NOMMÉS, PAR LISTE D'APTITUDE, DANS LE GRADE DE MASSEUR KINESITHERAPEUTE CADRE DE SANTÉ EN 3 TRANCHES LES 01/01/02, 01/01/03 ET 01/01/04 NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÉS LA NOMINATION POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITES SERONT RECLASSÉS LE 01/01/04 LA DATE D'EFFET DU 01/01/04 EST MODIFIÉE AU 31/12/03 SUITE AU DÉCRET N° 2003-1269 DU 23/12/03
0078;MASSEUR KINESITHERAPEUTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;;;MASSEUR KINESITHERAPEUTE CADRE SUPERIEUR DE SANTE;Masseur-kinésithérapeute cadre supérieur de santé;2012;DT 89-609 DU 01 09 1989
0079;ERGOTHERAPEUTE DE CLASSE NORMALE;;;ERGOTHERAPEUTE DE CLASSE NORMALE (PREMIER GRADE);Ergothérapeute de classe normale (cadre d'extinction);2943;DT 89-609 DU 01 09 1989 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0080;ERGOTHERAPEUTE DE CLASSE SUPERIEURE;;;ERGOTHERAPEUTE DE CLASSE NORMALE (PREMIER GRADE);Ergothérapeute de classe normale (cadre d'extinction);2943;DT 89-609 DU 01 09 1989 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0081;ERGOTHERAPEUTE SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);HRG3;Infirmier hors classe;ERGOTHERAPEUTE CADRE DE SANTE;Ergothérapeute cadre de santé;2813;DT 89-609 DU 01 09 1989 AU 01-08-92, LES CONDITIONS DE RECLT SONT DIFFERENTES SELON QUE CES PERSONNELS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 93-331 DU 12-03 93) SUITE AU DÉCRET N°2001-1375 ET À L'ARRÊTÉ DU 31/12/01 CE GRADE EST CONSTITUÉ EN GRADE PROVISOIRE DU 01/01/02 AU 31/12/03 LES ACTIFS SERONT NOMMÉS, PAR LISTE D'APTITUDE, DANS LE GRADE D'ERGOTHÉRAPEUTE CADRE DE SANTÉ EN 3 TRANCHES LES 01/01/2002, 01/01/2003 ET 01/01/2004: NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÉS LA NOMINATION POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITÉS SERONT RECLASSÉS LE 01/01/2004 LA DATE D'EFFET DU 01/01/04 EST MODIFIÉE AU 31/12/03 SUITE AU DÉCRET N°2003-1269 DU 23/12/03
0082;ERGOTHERAPEUTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;;;ERGOTHERAPEUTE CADRE SUPERIEUR DE SANTE;Ergothérapeute cadre supérieur de santé;2013;DT 89=609 DU 01 09 1989
0083;PSYCHOMOTRICIEN DE CLASSE NORMALE;;;PSYCHOMOTRICIEN DE CLASSE NORMALE (PREMIER GRADE);Psychomotricien de classe normale (cadre d'extinction);2944;DT 89-609 DU 01 09 1989 TEMPS MOYEN PASSE DANS L ECHELON P2 P3 P4 P6 P7 00 09 01 00 01 06 02 00 02 00 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0084;PSYCHOMOTRICIEN DE CLASSE SUPERIEURE;;;PSYCHOMOTRICIEN DE CLASSE NORMALE (PREMIER GRADE);Psychomotricien de classe normale (cadre d'extinction);2944;DT 89-609 DU 01 09 1989 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0085;PSYCHOMOTRICIEN SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);HRD3;Médecin et pharmacien hors classe;PSYCHOMOTRICIEN CADRE DE SANTE;Psychomotricien, cadre de santé;2814;DT 89-609 DU 01 09 1989 AU 01-08-92 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 93-331 DU 1203-93) SUITE AU DÉCRET N°2001-1375 ET À L'ARRÊTÉ DU 31/12/01, CE GRADE EST CONSTITUÉ EN GRADE PROVISOIRE DU 01/01/02 AU 31/12/03 LES ACTIFS SERONT NOMMÉS, PAR LISTE D'APTITUDE, DANS LE GRADE DE PSYCHOMOTRICIEN CADRE DE SANTÉ EN 3 TRANCHES LES 01/01/02, 01/01/03 ET 01/01/04: NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÉS LA NOMMINATION POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITÉS SERONT RECLASSÉS LE 01/01/04 LA DATE D'EFFET DU 01/01/04 EST MODIFIÉE AU 31/12/03 PAR LE DÉCRET 2003-1269 DU 23/12/03
0086;PSYCHOMOTRICIEN SURVEILLANT-CHEF DES SERVICES MEDICAUX;;;PSYCHOMOTRICIEN CADRE SUPERIEUR DE SANTE;Psychomotricien cadre supérieur de santé;2014;DT 89-609 DU 01 09 1989
0087;ORTHOPHONISTE DE CLASSE NORMALE;;;ORTHOPHONISTE DE CLASSE NORMALE (PREMIER GRADE);Orthophoniste de classe normale (cadre d'extinction);2945;DT 89-609 DU 01 09 1989 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0088;ORTHOPHONISTE DE CLASSE SUPERIEURE;;;ORTHOPHONISTE DE CLASSE NORMALE (PREMIER GRADE);Orthophoniste de classe normale (cadre d'extinction);2945;DT 89-609 DU 01 09 1989 AU 01-08-93 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 94-75 DU 25- 01-94)
0089;ORTHOPHONISTE SURVEILLANT DES SERVICES MEDICAUX (GRADE PROVISOIRE);HRA3;;ORTHOPHONISTE CADRE DE SANTE;Orthophoniste cadre de santé;2815;DT 89-609 DU 01 09 1989 AU 01-08-92 LES CONDITIONS DE RECLT DE CES PERSONNELS SONT DIFFERENTES SELON QU'ILS ETAIENT OU NON EN ACTIVITE A CETTE DATE (DT 93-331 DU 1203-93) SUITE AU DÉCRET N°2001-1375 ET À L'ARRÊTÉ DU 31/12/01, CE GRADE EST CONSTITUÉ EN GRADE PROVISOIRE DU 01/01/02 AU 31/12/03 LES ACTIFS SERONT NOMMÉS, PAR LISTE D'APTITUDE, DANS LE GRADE D'ORTHOPHONISTE CADRE DE SANTÉ EN 3 TRANCHES LES 01/01/02, 01/01/03 ET 01/01/04: NÉCESSITÉ DE JUSTIFIER DE 6 MOIS DE SERVICES EFFECTIFS APRÉS LA NOMINATION POUR EN BÉNÉFICIER EN RETRAITE LES RETRAITÉS SERONT RECLASSÉS LE 01/01/04- MODIFIE AU 31/12/2003 PAR DECRET 2003-1269 DU 23/12/2003
0090;ORTHOPHONISTE SURVEILLANT-CHEF DES SERVICES MEDICAUX;;;ORTHOPHONISTE CADRE SUPERIEUR DE SANTE;Orthophoniste cadre supérieur de santé;2015;DT 89-609 DU 01 09 1989
